customerid,first_purchase,last_purchase,total_orders,total_revenue,tenure_days
12702.0,2011-11-20 10:36:00,2011-11-20 10:36:00,1,219.0,0
12703.0,2011-09-29 17:52:00,2011-09-29 17:52:00,1,283.55,0
12704.0,2011-06-23 10:20:00,2011-12-02 13:15:00,8,2340.84,162
12705.0,2010-12-17 15:58:00,2011-11-24 13:17:00,9,6868.29,341
12707.0,2011-02-21 08:38:00,2011-02-21 08:38:00,1,603.42,0
12708.0,2010-12-06 10:43:00,2011-11-10 09:52:00,10,2712.91,338
12709.0,2010-12-08 09:49:00,2011-11-24 15:38:00,15,9736.52,351
12710.0,2011-05-22 14:05:00,2011-09-04 12:00:00,3,1149.02,104
12712.0,2010-12-03 14:30:00,2011-11-11 08:19:00,13,4396.13,342
12713.0,2011-12-09 12:16:00,2011-12-09 12:16:00,1,848.55,0
12714.0,2011-02-18 10:53:00,2011-11-30 15:43:00,5,4708.86,285
12715.0,2011-08-25 15:22:00,2011-08-25 15:22:00,1,353.86,0
12716.0,2011-07-29 13:28:00,2011-12-06 08:55:00,2,1053.49,129
12717.0,2011-04-08 10:32:00,2011-07-11 14:47:00,2,1030.98,94
12718.0,2011-09-29 16:38:00,2011-09-29 16:38:00,1,238.25,0
12719.0,2011-10-05 14:50:00,2011-12-04 13:45:00,2,644.95,59
12720.0,2010-12-05 15:21:00,2011-12-07 08:03:00,25,5781.7300000000005,366
12721.0,2010-12-20 11:38:00,2011-11-08 12:13:00,6,2656.13,323
12722.0,2011-07-12 11:55:00,2011-09-15 14:50:00,4,997.63,65
12723.0,2011-10-05 15:52:00,2011-12-06 10:19:00,5,725.07,61
12724.0,2011-01-11 15:00:00,2011-12-04 16:02:00,4,1031.41,327
12725.0,2010-12-03 15:45:00,2010-12-03 15:45:00,1,427.8,0
12726.0,2010-12-17 12:56:00,2011-11-11 13:35:00,7,2609.1,329
12727.0,2011-01-23 15:17:00,2011-11-29 11:46:00,7,3980.7000000000003,309
12728.0,2011-01-11 13:31:00,2011-09-29 15:31:00,4,836.33,261
12729.0,2011-08-18 11:40:00,2011-08-18 11:40:00,1,453.01,0
12731.0,2010-12-10 10:56:00,2011-11-16 11:59:00,12,18895.91,341
12732.0,2011-06-13 11:33:00,2011-06-13 11:33:00,1,236.26000000000002,0
12733.0,2011-04-19 16:19:00,2011-04-19 16:19:00,1,383.95,0
12734.0,2010-12-22 12:47:00,2010-12-22 12:47:00,1,110.39999999999999,0
12735.0,2011-01-06 14:26:00,2011-01-28 13:37:00,2,779.5699999999999,21
12736.0,2011-01-11 07:57:00,2011-01-11 07:57:00,1,234.0,0
12738.0,2010-12-02 18:27:00,2010-12-02 18:27:00,1,155.35,0
12739.0,2011-09-01 17:45:00,2011-09-22 13:00:00,2,1013.04,20
12740.0,2011-10-07 10:44:00,2011-10-07 10:44:00,1,427.6,0
12743.0,2011-07-28 16:06:00,2011-07-28 16:21:00,2,546.43,0
12744.0,2011-01-25 13:26:00,2011-10-19 11:18:00,7,21279.29,266
12747.0,2010-12-05 15:38:00,2011-12-07 14:34:00,11,4196.01,366
12748.0,2010-12-01 12:48:00,2011-12-09 12:20:00,209,33719.73,372
12749.0,2011-05-10 15:25:00,2011-12-06 09:56:00,5,4090.88,209
12750.0,2011-08-03 09:13:00,2011-08-03 09:13:00,1,275.88,0
12752.0,2011-09-19 13:32:00,2011-09-19 13:32:00,1,4366.78,0
12753.0,2010-12-12 11:44:00,2011-11-17 10:52:00,6,21429.39,339
12754.0,2011-02-04 10:31:00,2011-04-18 09:00:00,3,3010.74,72
12755.0,2010-12-09 10:44:00,2011-03-04 12:42:00,2,3811.9500000000003,85
12756.0,2011-09-14 09:31:00,2011-09-14 09:31:00,1,112.08,0
12757.0,2011-05-12 19:01:00,2011-11-24 12:30:00,13,7857.1,195
12758.0,2011-03-08 12:05:00,2011-08-15 10:22:00,2,2791.59,159
12759.0,2011-03-09 08:09:00,2011-10-18 14:49:00,3,1531.44,223
12762.0,2011-11-14 14:23:00,2011-12-02 10:23:00,2,1898.52,17
12763.0,2010-12-05 15:46:00,2011-07-24 14:12:00,2,494.08,230
12764.0,2011-01-27 10:19:00,2011-01-27 10:19:00,1,1693.88,0
12766.0,2010-12-08 13:53:00,2011-12-06 08:46:00,7,6989.63,362
12769.0,2011-04-15 10:25:00,2011-04-15 10:25:00,1,1143.6,0
12770.0,2011-05-13 09:33:00,2011-05-13 09:33:00,1,1351.45,0
12772.0,2011-10-11 09:19:00,2011-10-11 09:19:00,1,892.47,0
12775.0,2011-02-01 13:45:00,2011-11-22 16:33:00,5,1386.04,294
12778.0,2011-01-31 14:35:00,2011-11-20 11:30:00,6,822.23,292
12779.0,2010-12-03 13:40:00,2011-11-02 11:43:00,8,3981.36,333
