customerid,first_purchase,last_purchase,total_orders,total_revenue,tenure_days,customer_type
12374.0,2011-11-14 15:37:00,2011-11-14 15:37:00,1,742.9300000000001,0,One-time
12375.0,2011-09-02 14:23:00,2011-11-29 10:36:00,2,457.5,87,Returning
12377.0,2010-12-20 09:37:00,2011-01-28 15:45:00,2,1628.12,39,Returning
12378.0,2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62,0,One-time
12379.0,2011-06-22 16:32:00,2011-09-19 10:09:00,2,852.24,88,Returning
12380.0,2011-06-07 09:49:00,2011-11-18 11:27:00,4,2724.81,164,Returning
12381.0,2011-08-12 09:57:00,2011-12-05 12:44:00,5,1845.31,115,Returning
12383.0,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1850.56,167,Returning
12384.0,2011-08-10 11:23:00,2011-11-11 08:39:00,2,585.27,92,Returning
12386.0,2010-12-08 09:53:00,2011-01-06 12:37:00,2,401.9,29,Returning
12388.0,2011-01-17 11:12:00,2011-11-24 12:30:00,6,2780.6600000000003,311,Returning
12390.0,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,0,One-time
12391.0,2011-11-18 12:07:00,2011-11-18 12:07:00,1,460.89,0,One-time
12393.0,2011-01-11 09:47:00,2011-09-28 15:41:00,4,1582.6,260,Returning
12394.0,2011-05-06 14:01:00,2011-10-07 08:08:00,2,1272.48,153,Returning
12395.0,2010-12-03 16:35:00,2011-11-20 15:21:00,12,3018.63,351,Returning
12397.0,2011-07-27 14:21:00,2011-11-04 09:52:00,2,2409.9,99,Returning
12398.0,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.66,0,One-time
12399.0,2011-03-23 09:42:00,2011-08-12 13:15:00,4,1108.65,142,Returning
12401.0,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,0,One-time
12402.0,2011-01-20 13:49:00,2011-01-20 13:49:00,1,225.6,0,One-time
12403.0,2011-10-21 10:51:00,2011-10-21 10:51:00,1,427.7,0,One-time
12405.0,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,0,One-time
12406.0,2011-06-09 10:23:00,2011-11-17 19:22:00,2,3415.3,161,Returning
12407.0,2011-03-20 13:21:00,2011-10-21 10:11:00,5,1708.12,214,Returning
12408.0,2011-03-24 14:46:00,2011-11-07 12:27:00,5,2888.55,227,Returning
12409.0,2011-06-10 12:19:00,2011-09-22 10:38:00,3,11072.67,103,Returning
12410.0,2011-02-04 10:38:00,2011-02-04 10:39:00,2,693.33,0,Returning
12412.0,2011-06-23 13:51:00,2011-09-26 10:16:00,3,1226.88,94,Returning
12413.0,2011-01-06 16:12:00,2011-10-04 09:00:00,3,758.1,270,Returning
12414.0,2011-02-02 14:51:00,2011-05-06 14:51:00,3,562.4100000000001,93,Returning
12415.0,2011-01-06 11:12:00,2011-11-15 14:22:00,21,124914.53,313,Returning
12417.0,2010-12-17 11:51:00,2011-12-06 14:52:00,9,3649.1,354,Returning
12418.0,2011-08-19 11:08:00,2011-08-19 11:08:00,1,668.58,0,One-time
12420.0,2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39,0,One-time
12421.0,2011-01-24 15:09:00,2011-11-24 09:07:00,4,807.04,303,Returning
12422.0,2011-01-19 09:13:00,2011-09-05 09:48:00,3,803.5600000000001,229,Returning
12423.0,2010-12-21 10:54:00,2011-12-09 10:10:00,8,1859.31,352,Returning
12424.0,2011-06-30 12:06:00,2011-06-30 12:06:00,2,1760.96,0,Returning
12425.0,2011-09-22 17:31:00,2011-09-22 17:31:00,1,777.2,0,One-time
12426.0,2011-05-29 12:26:00,2011-05-29 12:26:00,1,582.73,0,One-time
12427.0,2010-12-03 10:44:00,2011-11-18 08:56:00,3,825.8000000000001,349,Returning
12428.0,2011-03-01 09:33:00,2011-11-14 08:22:00,9,7956.46,257,Returning
12429.0,2010-12-09 12:05:00,2011-11-30 17:22:00,4,3750.4,356,Returning
12430.0,2011-10-27 15:09:00,2011-10-27 15:09:00,1,256.4,0,One-time
12431.0,2010-12-01 10:03:00,2011-11-04 11:55:00,15,6487.45,338,Returning
12432.0,2011-06-20 13:27:00,2011-10-28 11:43:00,5,5059.32,129,Returning
12433.0,2010-12-01 13:24:00,2011-12-09 10:02:00,7,13375.87,372,Returning
12434.0,2011-03-24 13:05:00,2011-09-16 12:38:00,2,806.14,175,Returning
12435.0,2011-03-17 07:40:00,2011-09-21 09:06:00,2,7829.89,188,Returning
12436.0,2011-09-01 12:09:00,2011-09-01 12:09:00,1,509.01,0,One-time
12437.0,2011-01-12 14:13:00,2011-12-08 11:35:00,18,4951.41,329,Returning
12438.0,2011-07-22 13:29:00,2011-11-25 13:28:00,2,2906.85,125,Returning
12441.0,2010-12-08 10:45:00,2010-12-08 10:45:00,1,173.55,0,One-time
12442.0,2011-12-06 14:22:00,2011-12-06 14:22:00,1,172.06,0,One-time
12444.0,2011-06-21 14:00:00,2011-11-18 13:23:00,5,5005.46,149,Returning
12445.0,2011-11-17 18:43:00,2011-11-17 18:43:00,1,133.4,0,One-time
12446.0,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1002.31,0,One-time
12447.0,2011-04-10 13:25:00,2011-04-10 13:25:00,1,476.49,0,One-time
12448.0,2011-10-26 13:46:00,2011-10-26 13:46:00,1,449.45,0,One-time
12449.0,2011-06-05 15:37:00,2011-11-17 13:46:00,4,4067.29,164,Returning
12450.0,2011-06-19 14:36:00,2011-07-06 14:41:00,2,197.88,17,Returning
12451.0,2011-01-19 09:05:00,2011-11-29 08:40:00,5,9035.52,313,Returning
12452.0,2011-11-23 08:05:00,2011-11-23 10:28:00,2,430.5700000000001,0,Returning
12453.0,2011-07-28 14:08:00,2011-07-28 14:08:00,1,707.09,0,One-time
12454.0,2011-10-14 17:13:00,2011-10-14 17:13:00,1,3528.34,0,One-time
12455.0,2011-02-16 09:56:00,2011-09-27 15:31:00,6,2466.86,223,Returning
12456.0,2011-03-30 09:12:00,2011-10-26 14:41:00,3,3181.04,210,Returning
12457.0,2011-04-14 18:57:00,2011-10-04 13:13:00,7,2363.23,172,Returning
12458.0,2011-02-28 10:55:00,2011-09-29 15:25:00,2,947.4,213,Returning
12461.0,2011-07-08 10:23:00,2011-09-06 16:57:00,2,826.88,60,Returning
12462.0,2011-02-09 14:44:00,2011-11-21 09:11:00,2,1189.59,284,Returning
12463.0,2011-04-12 12:47:00,2011-10-17 13:44:00,4,1344.78,188,Returning
12464.0,2011-02-03 13:30:00,2011-11-29 13:33:00,8,1212.05,299,Returning
12465.0,2011-06-23 13:37:00,2011-11-22 16:34:00,2,742.19,152,Returning
12468.0,2011-01-27 13:29:00,2011-06-05 11:36:00,2,729.54,128,Returning
12471.0,2010-12-10 09:35:00,2011-12-07 15:43:00,30,19824.05,362,Returning
12472.0,2010-12-05 14:19:00,2011-11-07 14:01:00,7,6572.11,336,Returning
12473.0,2011-06-01 10:15:00,2011-11-10 13:46:00,5,3938.55,162,Returning
12474.0,2011-01-14 10:06:00,2011-11-22 14:39:00,18,7375.79,312,Returning
12475.0,2011-10-17 10:10:00,2011-10-17 10:10:00,1,723.38,0,One-time
12476.0,2010-12-13 14:39:00,2011-11-24 12:40:00,11,6816.42,345,Returning
12477.0,2011-02-11 12:45:00,2011-11-17 09:51:00,6,13219.74,278,Returning
12478.0,2011-12-06 09:56:00,2011-12-06 09:56:00,1,680.99,0,One-time
12479.0,2011-11-28 13:26:00,2011-11-28 13:26:00,1,527.2,0,One-time
12480.0,2011-01-07 15:27:00,2011-11-11 14:52:00,4,3281.63,307,Returning
12481.0,2010-12-09 10:13:00,2011-11-17 08:29:00,10,5596.32,342,Returning
12483.0,2011-01-04 14:20:00,2011-11-22 17:02:00,8,2484.98,322,Returning
12484.0,2011-01-07 14:04:00,2011-11-07 11:37:00,6,4541.72,303,Returning
12488.0,2011-09-25 10:34:00,2011-11-30 08:50:00,3,1298.66,65,Returning
12489.0,2011-01-07 13:13:00,2011-01-07 13:13:00,1,334.93,0,One-time
12490.0,2011-01-14 09:13:00,2011-12-04 16:07:00,10,5417.93,324,Returning
12491.0,2011-11-01 12:18:00,2011-11-01 12:18:00,1,460.4,0,One-time
12492.0,2011-08-26 14:51:00,2011-10-07 15:15:00,2,263.21000000000004,42,Returning
12493.0,2011-05-26 14:53:00,2011-06-27 10:17:00,2,433.74,31,Returning
12494.0,2010-12-09 11:31:00,2011-11-24 09:34:00,7,1246.1,349,Returning
12497.0,2011-09-19 12:29:00,2011-09-19 12:29:00,1,1043.1,0,One-time
12498.0,2011-10-13 09:30:00,2011-11-18 12:53:00,3,403.7000000000001,36,Returning
12500.0,2011-01-10 09:48:00,2011-11-16 16:20:00,11,4257.82,310,Returning
12501.0,2011-01-07 12:28:00,2011-01-07 12:28:00,1,2169.39,0,One-time
12502.0,2011-02-03 10:41:00,2011-09-05 11:52:00,5,3723.87,214,Returning
12504.0,2011-11-09 14:56:00,2011-11-21 16:02:00,2,482.05,12,Returning
12506.0,2011-04-21 08:54:00,2011-04-21 08:54:00,1,73.5,0,One-time
12507.0,2011-02-14 09:24:00,2011-07-28 17:09:00,3,1304.81,164,Returning
12508.0,2011-11-10 16:27:00,2011-11-13 15:37:00,2,398.27,2,Returning
12509.0,2011-02-28 14:45:00,2011-02-28 14:45:00,1,176.5,0,One-time
12510.0,2011-01-18 14:04:00,2011-07-20 10:15:00,2,982.57,182,Returning
12512.0,2011-10-04 14:53:00,2011-10-04 14:55:00,2,138.03,0,Returning
12513.0,2011-08-19 10:51:00,2011-08-19 10:51:00,1,612.29,0,One-time
12514.0,2011-03-17 16:38:00,2011-03-17 16:38:00,1,1017.68,0,One-time
12515.0,2010-12-21 15:43:00,2010-12-21 15:43:00,1,383.7,0,One-time
12516.0,2011-06-12 11:37:00,2011-09-23 09:13:00,2,1312.06,102,Returning
12517.0,2011-06-02 15:13:00,2011-11-11 14:04:00,5,2502.84,161,Returning
12518.0,2011-08-21 13:18:00,2011-12-09 10:13:00,5,2056.89,109,Returning
12519.0,2011-10-07 09:26:00,2011-10-07 09:26:00,1,340.84000000000003,0,One-time
12520.0,2011-03-11 11:35:00,2011-09-21 15:23:00,5,2634.26,194,Returning
12521.0,2011-07-20 10:51:00,2011-07-20 10:51:00,1,599.68,0,One-time
12522.0,2011-10-19 14:41:00,2011-10-31 15:30:00,2,192.72,12,Returning
12523.0,2011-01-12 09:43:00,2011-11-20 12:55:00,11,1789.77,312,Returning
12524.0,2011-01-10 10:35:00,2011-11-30 15:31:00,8,4485.72,324,Returning
12526.0,2011-09-06 14:19:00,2011-12-09 12:09:00,3,1316.66,93,Returning
12527.0,2011-01-18 12:05:00,2011-09-19 11:55:00,3,348.71000000000004,243,Returning
12528.0,2011-01-31 09:05:00,2011-11-30 14:40:00,6,1933.48,303,Returning
12530.0,2011-01-07 10:04:00,2011-10-11 12:34:00,4,1662.28,277,Returning
12531.0,2011-11-25 11:12:00,2011-11-25 11:12:00,1,125.22,0,One-time
12532.0,2011-11-09 13:47:00,2011-11-09 13:47:00,1,349.83000000000004,0,One-time
12534.0,2011-08-01 10:26:00,2011-08-01 10:26:00,1,1089.18,0,One-time
12535.0,2011-06-06 12:47:00,2011-09-09 08:48:00,2,716.35,94,Returning
12536.0,2011-10-11 14:52:00,2011-10-27 14:20:00,3,12601.830000000002,15,Returning
12538.0,2011-11-10 17:16:00,2011-11-10 17:16:00,1,363.95,0,One-time
12539.0,2011-01-10 09:11:00,2011-11-17 13:30:00,4,5568.35,311,Returning
12540.0,2010-12-13 09:39:00,2011-11-20 11:31:00,17,13400.24,342,Returning
12541.0,2011-03-04 09:32:00,2011-11-10 10:40:00,3,981.18,251,Returning
12544.0,2011-11-03 16:15:00,2011-11-03 16:15:00,1,372.7,0,One-time
12545.0,2011-03-25 12:04:00,2011-09-25 13:39:00,2,1000.39,184,Returning
12546.0,2011-09-23 09:44:00,2011-10-24 12:09:00,2,1161.5,31,Returning
12547.0,2011-03-04 12:46:00,2011-05-26 12:38:00,2,207.8,82,Returning
12548.0,2011-06-26 15:35:00,2011-06-26 15:35:00,1,95.2,0,One-time
12550.0,2011-09-21 14:35:00,2011-09-21 14:35:00,1,964.83,0,One-time
12551.0,2010-12-17 11:23:00,2010-12-17 11:23:00,1,168.0,0,One-time
12552.0,2011-10-31 12:11:00,2011-11-01 10:02:00,2,437.82,0,Returning
12553.0,2011-01-14 10:42:00,2011-12-01 16:38:00,10,3692.28,321,Returning
12556.0,2011-07-11 13:35:00,2011-10-20 13:06:00,2,603.71,100,Returning
12557.0,2010-12-03 12:20:00,2011-11-23 16:59:00,5,11990.96,355,Returning
12558.0,2011-12-02 10:41:00,2011-12-02 10:41:00,1,269.96,0,One-time
12559.0,2011-01-24 10:12:00,2011-02-02 09:49:00,2,561.71,8,Returning
12560.0,2011-07-19 15:55:00,2011-12-04 13:54:00,3,2134.01,137,Returning
12561.0,2011-02-10 11:39:00,2011-02-10 11:39:00,1,238.85,0,One-time
12562.0,2011-05-25 12:44:00,2011-12-01 17:20:00,7,3781.74,190,Returning
12564.0,2011-03-23 14:55:00,2011-03-23 14:55:00,1,456.9,0,One-time
12565.0,2011-02-24 10:34:00,2011-02-24 10:34:00,1,145.92000000000002,0,One-time
12566.0,2011-09-14 14:30:00,2011-09-14 14:30:00,1,351.65,0,One-time
12567.0,2010-12-05 11:57:00,2011-11-17 11:02:00,10,9401.28,346,Returning
12569.0,2011-04-01 13:47:00,2011-12-07 16:24:00,32,4124.6900000000005,250,Returning
12571.0,2011-08-10 12:35:00,2011-10-31 10:19:00,2,519.61,81,Returning
12572.0,2011-10-19 08:20:00,2011-12-01 09:20:00,2,1020.42,43,Returning
12573.0,2011-04-26 15:52:00,2011-04-26 15:52:00,1,160.54000000000002,0,One-time
12574.0,2011-01-28 09:20:00,2011-01-28 09:20:00,1,218.45,0,One-time
12576.0,2011-02-08 11:31:00,2011-11-04 10:11:00,5,1315.83,268,Returning
12577.0,2010-12-15 16:21:00,2011-11-04 13:24:00,3,657.8,323,Returning
12578.0,2011-01-13 15:34:00,2011-11-18 13:30:00,2,2794.51,308,Returning
12579.0,2011-09-22 17:15:00,2011-09-22 17:15:00,1,440.42,0,One-time
12580.0,2011-04-07 10:24:00,2011-04-07 10:24:00,1,415.7,0,One-time
12581.0,2011-10-31 08:56:00,2011-10-31 08:56:00,1,197.71,0,One-time
12582.0,2011-02-24 11:42:00,2011-04-15 08:45:00,2,511.36,49,Returning
12583.0,2010-12-01 08:45:00,2011-12-07 08:07:00,15,7281.38,370,Returning
12584.0,2011-03-04 15:15:00,2011-12-06 09:35:00,9,2338.15,276,Returning
12585.0,2010-12-23 12:58:00,2011-04-19 13:39:00,2,2040.1,117,Returning
12586.0,2011-11-22 16:24:00,2011-11-22 16:24:00,1,196.94000000000003,0,One-time
12587.0,2011-12-02 12:47:00,2011-12-02 12:47:00,1,144.0,0,One-time
12588.0,2011-10-31 15:01:00,2011-10-31 15:01:00,1,214.9,0,One-time
12589.0,2011-07-18 12:05:00,2011-11-11 10:19:00,2,646.68,115,Returning
12590.0,2011-05-12 14:46:00,2011-05-12 14:52:00,2,9864.26,0,Returning
12591.0,2011-01-26 14:35:00,2011-01-26 14:35:00,1,452.85,0,One-time
12592.0,2011-05-10 13:44:00,2011-09-08 15:04:00,2,437.6,121,Returning
12593.0,2011-05-05 09:29:00,2011-08-23 12:43:00,3,418.1,110,Returning
12594.0,2011-01-21 09:52:00,2011-11-02 12:20:00,10,3338.2200000000003,285,Returning
12596.0,2011-04-11 13:22:00,2011-10-19 13:02:00,2,618.27,190,Returning
12597.0,2011-03-16 14:00:00,2011-11-20 13:33:00,4,3811.22,248,Returning
12598.0,2011-02-28 11:58:00,2011-11-30 12:18:00,8,3023.08,275,Returning
12599.0,2011-02-08 13:28:00,2011-11-10 13:34:00,7,1032.58,275,Returning
12600.0,2010-12-03 12:57:00,2011-11-11 10:29:00,10,2599.04,342,Returning
12601.0,2011-01-11 10:38:00,2011-06-03 10:17:00,5,577.0600000000001,142,Returning
12602.0,2011-10-12 11:22:00,2011-10-12 11:22:00,1,153.12,0,One-time
12603.0,2011-11-18 10:42:00,2011-11-18 10:42:00,1,739.1999999999999,0,One-time
12604.0,2011-03-23 12:06:00,2011-09-21 14:08:00,2,254.18,182,Returning
12607.0,2011-10-10 16:06:00,2011-10-10 16:06:00,1,1579.51,0,One-time
12609.0,2011-01-25 15:13:00,2011-09-22 16:34:00,3,1126.85,240,Returning
12610.0,2011-08-05 13:52:00,2011-11-17 09:34:00,5,2099.54,103,Returning
12611.0,2011-10-18 13:12:00,2011-10-18 13:12:00,1,1193.32,0,One-time
12612.0,2011-09-26 15:35:00,2011-09-26 15:35:00,1,704.04,0,One-time
12613.0,2011-03-22 15:42:00,2011-10-13 14:59:00,5,3344.38,204,Returning
12614.0,2011-03-07 10:22:00,2011-03-07 10:22:00,1,315.6,0,One-time
12615.0,2011-06-24 13:35:00,2011-12-07 15:02:00,4,2291.19,166,Returning
12616.0,2011-02-15 14:17:00,2011-09-05 15:17:00,2,713.3,202,Returning
12617.0,2011-11-10 14:39:00,2011-11-10 14:39:00,1,355.53000000000003,0,One-time
12618.0,2011-11-18 11:10:00,2011-11-18 11:10:00,1,177.31,0,One-time
12619.0,2011-03-31 13:10:00,2011-11-23 14:52:00,9,3641.24,237,Returning
12620.0,2011-05-19 12:10:00,2011-11-25 10:20:00,3,1339.41,189,Returning
12621.0,2010-12-09 10:16:00,2011-12-08 11:25:00,20,13689.67,364,Returning
12622.0,2011-04-21 16:39:00,2011-04-21 16:39:00,1,180.1,0,One-time
12623.0,2011-03-08 13:50:00,2011-03-08 13:50:00,1,305.1,0,One-time
12624.0,2011-06-15 12:34:00,2011-08-25 15:04:00,2,641.13,71,Returning
12625.0,2011-01-24 13:27:00,2011-05-12 09:54:00,2,2683.82,107,Returning
12626.0,2011-01-17 11:01:00,2011-11-16 16:06:00,9,6620.4800000000005,303,Returning
12627.0,2011-07-22 13:59:00,2011-11-29 12:07:00,7,4478.53,129,Returning
12628.0,2011-10-06 09:28:00,2011-12-05 13:15:00,3,786.46,60,Returning
12630.0,2011-10-27 10:41:00,2011-11-30 10:48:00,2,1270.88,34,Returning
12631.0,2011-10-13 13:53:00,2011-10-13 13:53:00,1,640.5,0,One-time
12633.0,2011-02-25 08:44:00,2011-10-12 11:40:00,4,2163.98,229,Returning
12635.0,2011-07-08 08:43:00,2011-09-11 11:04:00,2,1689.18,65,Returning
12637.0,2011-01-20 10:47:00,2011-10-03 13:46:00,8,6021.9,256,Returning
12638.0,2011-11-06 13:11:00,2011-11-06 13:11:00,1,671.69,0,One-time
12639.0,2011-04-15 12:48:00,2011-04-15 12:48:00,1,486.1,0,One-time
12640.0,2011-09-19 12:01:00,2011-11-16 11:52:00,3,1174.58,57,Returning
12641.0,2011-08-16 13:26:00,2011-08-16 13:26:00,1,185.9,0,One-time
12642.0,2011-08-24 09:23:00,2011-11-14 15:03:00,3,1013.26,82,Returning
12643.0,2011-01-11 11:48:00,2011-08-03 12:56:00,6,3344.64,204,Returning
12644.0,2011-08-02 10:33:00,2011-08-02 10:33:00,1,477.91,0,One-time
12645.0,2011-01-27 13:08:00,2011-11-06 12:38:00,4,1775.18,282,Returning
12646.0,2011-10-21 12:52:00,2011-12-05 10:14:00,2,1346.97,44,Returning
12647.0,2010-12-05 14:02:00,2011-11-17 12:56:00,12,3722.82,346,Returning
12648.0,2011-07-08 11:55:00,2011-07-08 11:55:00,1,318.05,0,One-time
12649.0,2011-05-11 14:37:00,2011-08-24 14:41:00,3,623.51,105,Returning
12650.0,2011-12-06 16:34:00,2011-12-06 16:34:00,1,314.44,0,One-time
12651.0,2011-01-09 12:46:00,2011-01-09 12:46:00,1,114.0,0,One-time
12652.0,2011-01-12 15:00:00,2011-01-12 15:00:00,1,919.98,0,One-time
12653.0,2011-02-16 10:53:00,2011-07-14 10:41:00,2,2209.85,147,Returning
12654.0,2011-02-17 13:16:00,2011-11-29 10:10:00,5,601.98,284,Returning
12656.0,2011-04-20 09:20:00,2011-11-22 13:42:00,5,4051.17,216,Returning
12657.0,2011-09-22 11:40:00,2011-11-28 15:47:00,4,1643.18,67,Returning
12658.0,2011-11-21 10:22:00,2011-11-21 10:22:00,1,686.05,0,One-time
12659.0,2011-11-10 11:53:00,2011-11-10 11:53:00,1,91.68,0,One-time
12660.0,2011-11-28 13:26:00,2011-11-28 13:26:00,1,245.1,0,One-time
12662.0,2010-12-01 13:04:00,2011-12-09 11:59:00,11,3849.78,372,Returning
12664.0,2011-01-21 11:42:00,2011-12-01 17:07:00,9,4881.88,314,Returning
12665.0,2011-01-19 08:34:00,2011-01-19 08:34:00,1,63.0,0,One-time
12667.0,2011-10-12 17:00:00,2011-10-12 17:00:00,1,620.13,0,One-time
12668.0,2010-12-19 12:46:00,2011-11-28 10:56:00,4,3807.15,343,Returning
12669.0,2011-03-28 10:15:00,2011-07-12 09:54:00,3,2744.03,105,Returning
12670.0,2011-04-21 10:16:00,2011-11-29 15:23:00,5,2996.05,222,Returning
12672.0,2011-01-14 09:20:00,2011-01-14 09:20:00,1,225.9,0,One-time
12673.0,2011-01-17 11:46:00,2011-12-04 13:55:00,2,610.52,321,Returning
12674.0,2011-05-16 09:10:00,2011-11-01 12:12:00,4,1970.6,169,Returning
12676.0,2011-02-01 15:41:00,2011-11-15 12:25:00,6,1331.39,286,Returning
12678.0,2010-12-21 11:00:00,2011-10-28 13:04:00,12,17628.46,311,Returning
12679.0,2011-03-01 12:26:00,2011-10-12 12:30:00,4,1113.02,225,Returning
12680.0,2011-08-18 15:44:00,2011-12-09 12:50:00,4,862.81,112,Returning
12681.0,2010-12-07 10:08:00,2011-11-25 11:33:00,22,13787.54,353,Returning
12682.0,2010-12-03 13:59:00,2011-12-06 10:00:00,31,12288.22,367,Returning
12683.0,2010-12-09 10:37:00,2011-12-05 16:31:00,15,8476.57,361,Returning
12684.0,2011-05-10 12:55:00,2011-12-02 09:53:00,7,2283.63,205,Returning
12685.0,2011-09-07 10:28:00,2011-11-11 13:46:00,6,2863.08,65,Returning
12686.0,2010-12-03 09:51:00,2010-12-03 09:51:00,1,89.14,0,One-time
12688.0,2011-08-18 08:49:00,2011-08-18 08:49:00,1,4873.81,0,One-time
12689.0,2011-08-04 10:04:00,2011-11-14 08:31:00,2,1247.61,101,Returning
12690.0,2011-05-18 09:09:00,2011-05-18 09:09:00,1,389.01,0,One-time
12691.0,2010-12-17 14:46:00,2011-11-11 16:49:00,6,1035.8,329,Returning
12693.0,2011-01-24 12:58:00,2011-08-04 17:51:00,4,855.91,192,Returning
12694.0,2011-06-09 17:48:00,2011-09-30 13:06:00,2,869.67,112,Returning
12695.0,2011-05-13 13:15:00,2011-12-02 13:22:00,4,582.1,203,Returning
12697.0,2011-06-23 15:44:00,2011-11-11 08:47:00,3,957.59,140,Returning
12700.0,2011-05-08 16:10:00,2011-12-02 10:47:00,4,4939.99,207,Returning
12701.0,2011-04-11 13:02:00,2011-09-21 10:47:00,2,797.71,162,Returning
12702.0,2011-11-20 10:36:00,2011-11-20 10:36:00,1,219.0,0,One-time
12703.0,2011-09-29 17:52:00,2011-09-29 17:52:00,1,283.55,0,One-time
12704.0,2011-06-23 10:20:00,2011-12-02 13:15:00,8,2340.84,162,Returning
12705.0,2010-12-17 15:58:00,2011-11-24 13:17:00,9,6868.29,341,Returning
12707.0,2011-02-21 08:38:00,2011-02-21 08:38:00,1,603.42,0,One-time
12708.0,2010-12-06 10:43:00,2011-11-10 09:52:00,10,2712.91,338,Returning
12709.0,2010-12-08 09:49:00,2011-11-24 15:38:00,15,9736.52,351,Returning
12710.0,2011-05-22 14:05:00,2011-09-04 12:00:00,3,1149.02,104,Returning
12712.0,2010-12-03 14:30:00,2011-11-11 08:19:00,13,4396.13,342,Returning
12713.0,2011-12-09 12:16:00,2011-12-09 12:16:00,1,848.55,0,One-time
12714.0,2011-02-18 10:53:00,2011-11-30 15:43:00,5,4708.86,285,Returning
12715.0,2011-08-25 15:22:00,2011-08-25 15:22:00,1,353.86,0,One-time
12716.0,2011-07-29 13:28:00,2011-12-06 08:55:00,2,1053.49,129,Returning
12717.0,2011-04-08 10:32:00,2011-07-11 14:47:00,2,1030.98,94,Returning
12718.0,2011-09-29 16:38:00,2011-09-29 16:38:00,1,238.25,0,One-time
12719.0,2011-10-05 14:50:00,2011-12-04 13:45:00,2,644.95,59,Returning
12720.0,2010-12-05 15:21:00,2011-12-07 08:03:00,25,5781.7300000000005,366,Returning
12721.0,2010-12-20 11:38:00,2011-11-08 12:13:00,6,2656.13,323,Returning
12722.0,2011-07-12 11:55:00,2011-09-15 14:50:00,4,997.63,65,Returning
12723.0,2011-10-05 15:52:00,2011-12-06 10:19:00,5,725.07,61,Returning
12724.0,2011-01-11 15:00:00,2011-12-04 16:02:00,4,1031.41,327,Returning
12725.0,2010-12-03 15:45:00,2010-12-03 15:45:00,1,427.8,0,One-time
12726.0,2010-12-17 12:56:00,2011-11-11 13:35:00,7,2609.1,329,Returning
12727.0,2011-01-23 15:17:00,2011-11-29 11:46:00,7,3980.7,309,Returning
12728.0,2011-01-11 13:31:00,2011-09-29 15:31:00,4,836.33,261,Returning
12729.0,2011-08-18 11:40:00,2011-08-18 11:40:00,1,453.01,0,One-time
12731.0,2010-12-10 10:56:00,2011-11-16 11:59:00,12,18895.91,341,Returning
12732.0,2011-06-13 11:33:00,2011-06-13 11:33:00,1,236.26,0,One-time
12733.0,2011-04-19 16:19:00,2011-04-19 16:19:00,1,383.95,0,One-time
